Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
PTON,Peloton Interactive Cl A,39,LEISURE,Leisure-Services,24.25,-9.2,-2.45,10342,-54.6,8,1,A-,C,C+,22
RCL,Royal Caribbean Group,39,LEISURE,Leisure-Services,79.36,-2.3,-1.88,4805,1.2,34,59,A-,E,B,69
SIX,Six Flags Entertainment,39,LEISURE,Leisure-Services,39.95,-1.7,-0.7,847,-43.8,69,48,A-,-,B,75
UBER,Uber Technologies Inc,39,LEISURE,Leisure-Services,34.54,-7.1,-2.63,29672,-0.3,23,21,A-,D,D-,36
NFBK,Northfield Bancorp Inc,40,S&Ls,Finance-Savings & Loan,15.32,-0.4,-0.06,132,-28.6,89,46,A-,B,D-,74
SYF,Synchrony Financial,40,S&Ls,Finance-Savings & Loan,42.25,-1.1,-0.45,6216,3.4,91,46,A-,B,D-,73
HMC,Honda Motor Co Ltd Adr,41,AUTO,Auto Manufacturers,29.85,0.3,0.08,1009,-2,48,59,A-,C,E,57
LI,Li Auto Inc Ads Class A,41,AUTO,Auto Manufacturers,26.83,-2.4,-0.67,5947,-37.9,57,59,A-,C,B-,72
NIO,Nio Inc Cl A Ads,41,AUTO,Auto Manufacturers,23.13,-2.7,-0.63,54620,-2.4,46,11,A-,D,D,37
XPEV,Xpeng Inc Ads Class A,41,AUTO,Auto Manufacturers,34.52,-3.6,-1.28,7173,-41.9,8,32,A-,C,C+,38
HIMX,Himax Technologies Ads,42,CHIPS,Elec-Semicondctor Fablss,10.13,-5.7,-0.61,3151,-26.7,69,34,A-,A,D+,73
MPWR,Monolithic Power Systems,42,CHIPS,Elec-Semicondctor Fablss,393.16,-5.1,-21.34,383,-4.1,95,39,A-,A,C-,86
XPER,Xperi Holding Corp,42,CHIPS,Elec-Semicondctor Fablss,16.33,-3.1,-0.53,347,-31.6,56,29,A-,A,C+,62
BEKE,Ke Holdings Inc Ads Cl A,44,REAL EST,Real Estate Dvlpmt/Ops,19.67,-4.1,-0.85,5546,-48.9,54,24,A-,B,A,54
FOR,Forestar Group Inc,44,REAL EST,Real Estate Dvlpmt/Ops,20.16,0.6,0.13,92,3,91,41,A-,A,B-,85
FSV,Firstservice Corporation,44,REAL EST,Real Estate Dvlpmt/Ops,155.55,-3.1,-4.93,70,2.2,94,37,A-,B,D,79
RLGY,Realogy Holdings Corp,44,REAL EST,Real Estate Dvlpmt/Ops,16.13,-0.9,-0.15,756,-31.8,51,41,A-,B,C-,71
RMAX,Remax Holdings Inc Cl A,44,REAL EST,Real Estate Dvlpmt/Ops,29.95,1.2,0.36,156,12.5,76,34,A-,A,B+,75
AIZ,Assurant Inc,48,INSURANCE,Insurance-Diversified,151.8,-0.8,-1.19,322,-32.2,82,59,A-,C,D+,76
EVR,Evercore Inc,50,FINANCE,Finance-Invest Bnk/Bkrs,128.18,1.7,2.16,613,39,94,43,B+,A,D+,79
FRHC,Freedom Holding Corp,50,FINANCE,Finance-Invest Bnk/Bkrs,63.33,-2.5,-1.65,197,-65.7,74,86,B+,A,C-,97
FUTU,Futu Holdings Cl A Ads,50,FINANCE,Finance-Invest Bnk/Bkrs,41.45,-2.1,-0.87,2344,-59.1,97,10,B+,A,B-,70
JEF,Jefferies Financial Grp,50,FINANCE,Finance-Invest Bnk/Bkrs,37,-0.1,-0.05,1588,-3.3,88,85,B+,A,D,87
LAZ,Lazard Ltd,50,FINANCE,Finance-Invest Bnk/Bkrs,42.77,-0.4,-0.17,1804,218.9,80,39,B+,A,E,73
MC,Moelis & Company Cl A,50,FINANCE,Finance-Invest Bnk/Bkrs,54.73,-1.5,-0.81,385,-16.9,88,46,B+,A,E,81
OPY,Oppenheimer Holdings Inc,50,FINANCE,Finance-Invest Bnk/Bkrs,42.07,-0.8,-0.36,63,-32.7,85,39,B+,B,C-,69
XP,XP Inc Cl A,50,FINANCE,Finance-Invest Bnk/Bkrs,31.59,-2.4,-0.78,1388,-62.5,99,27,B+,A,B-,79
ABNB,Airbnb Inc Cl A,51,LEISURE,Leisure-Travel Booking,149.51,-1.5,-2.25,4504,-25,63,34,B+,D,E,51
TCOM,Trip.com Group Ltd Adr,51,LEISURE,Leisure-Travel Booking,26.17,-0.5,-0.12,2657,-58.8,33,33,B+,C,B,45
RMCF,Rocky Mtn Chocolate Fa,52,FOOD/BEV,Food-Confectionery,8.6,8.6,0.68,19,31,30,95,B+,C,B,75
PRI,Primerica Inc,53,INSURANCE,Insurance-Life,151.57,-2.3,-3.51,122,-13.3,89,48,B+,A,B-,89
KT,K T Corp Adr,54,TELECOM,Telecom Svcs- Foreign,13.08,-0.7,-0.09,371,-61.1,62,80,B+,D,B-,78
SKM,S K Telecom Co Ltd Ads,54,TELECOM,Telecom Svcs- Foreign,26.04,-2.3,-0.6,257,-28.8,69,41,B+,C,B-,70
AAT,American Assets Trust,57,REAL EST,Finance-Property REIT,35.15,-2.1,-0.76,154,-42.6,62,69,B+,D,C-,73
AJX,Great Ajax Corp,57,REAL EST,Finance-Property REIT,12.72,0,0,57,-24.5,72,69,B+,C,E,69
AMH,American Homes 4 Rt Cl A,57,REAL EST,Finance-Property REIT,39.41,-0.4,-0.15,1564,-26.9,94,80,B+,C,E,80
AMT,American Tower Corp,57,REAL EST,Finance-Property REIT,250.7,-0.6,-1.64,1332,-32.2,96,52,B+,A,D,86
BNL,Broadstone Net Lease Inc,57,REAL EST,Finance-Property REIT,22.47,-1.7,-0.38,590,-16.5,89,59,B+,C,D-,81
CCI,Crown Castle Intl,57,REAL EST,Finance-Property REIT,181.68,-1.3,-2.32,947,-44,82,73,B+,B,C-,85
CHCT,Community Healthcare Tr,57,REAL EST,Finance-Property REIT,43.28,-2.3,-1.02,48,-54.8,76,39,B+,B,B-,77
CTRE,Caretrust Reit,57,REAL EST,Finance-Property REIT,20.01,-3.5,-0.73,778,-18.4,61,39,B+,B,C-,68
DLR,Digital Realty Trust Inc,57,REAL EST,Finance-Property REIT,147,-1.5,-2.23,1501,8.7,82,52,B+,C,D+,75
ELS,Equity Lifestyle Pptys,57,REAL EST,Finance-Property REIT,78.5,-0.7,-0.56,644,-20.7,69,78,B+,A,E,80
EPRT,Essential Prop Realty Tr,57,REAL EST,Finance-Property REIT,25.58,-3.2,-0.85,622,-20.8,98,46,B+,B,E,80
EQIX,Equinix Inc,57,REAL EST,Finance-Property REIT,712.91,-0.5,-3.64,438,-1.4,83,41,B+,C,C-,66
GTY,Getty Realty Corp Hld Co,57,REAL EST,Finance-Property REIT,28.88,-2.8,-0.84,464,75.1,63,43,B+,B,B-,72
HIW,Highwoods Properties Inc,57,REAL EST,Finance-Property REIT,42.84,-1.2,-0.51,468,-50.3,92,52,B+,B,C,80
IIPR,Innovative Ind Prop,57,REAL EST,Finance-Property REIT,192.41,-2.6,-5.17,113,-52.1,97,32,B+,A,D-,77
MAC,Macerich Co,57,REAL EST,Finance-Property REIT,16.07,-2.3,-0.37,2067,-28,58,59,B+,E,D,61
NNN,National Retail Pptys,57,REAL EST,Finance-Property REIT,43.67,-1.3,-0.56,925,-4.7,76,48,B+,B,B,78
NTST,Netstreit Corp,57,REAL EST,Finance-Property REIT,21.88,-2.4,-0.54,296,-39.2,33,59,B+,C,D+,71
OFC,Corporate Office Pptys,57,REAL EST,Finance-Property REIT,25.17,-1.7,-0.44,609,-18.3,94,37,B+,C,D-,68
OUT,Outfront Media Inc,57,REAL EST,Finance-Property REIT,24.26,-1.3,-0.33,1055,5.4,60,75,B+,E,B+,83
PEB,Pebblebrook Hotel Tr,57,REAL EST,Finance-Property REIT,21.74,-0.4,-0.09,914,-33.5,49,48,B+,D,B-,65
PSTL,Postal Realty Trust Cl A,57,REAL EST,Finance-Property REIT,17.85,-0.6,-0.11,111,-31.9,69,48,B+,C,C+,75
RPT,R P T Realty,57,REAL EST,Finance-Property REIT,12.38,-2.3,-0.29,425,-25.4,69,64,B+,D,B+,83
SAFE,Safehold Inc,57,REAL EST,Finance-Property REIT,60.83,-1,-0.62,203,30.5,92,25,B+,B,E,66
SBAC,S B A Communications Cp,57,REAL EST,Finance-Property REIT,321.7,-0.6,-1.87,433,-38.7,74,73,B+,-,E,66
SITC,Site Centers Corp,57,REAL EST,Finance-Property REIT,14.72,-1.2,-0.18,1885,1.8,69,64,B+,C,C-,78
SRC,Spirit Realty Capital,57,REAL EST,Finance-Property REIT,46.32,-1.1,-0.51,488,-47,72,64,B+,C,D+,79
SUI,Sun Communities Inc,57,REAL EST,Finance-Property REIT,192.74,-0.3,-0.56,560,-18.5,96,87,B+,B,C,93
VICI,Vici Properties,57,REAL EST,Finance-Property REIT,28.32,-1.6,-0.45,3555,-37.8,71,55,B+,A,C-,78
VTR,Ventas Inc,57,REAL EST,Finance-Property REIT,51.23,-1.9,-1.01,1815,-25.5,69,52,B+,D,A-,72
ALL,Allstate Corp,58,INSURANCE,Insurance-Prop/Cas/Titl,121.67,3.4,3.98,4758,98.6,80,75,B+,B,E,74
CINF,Cincinnati Financial,58,INSURANCE,Insurance-Prop/Cas/Titl,120.49,-0.4,-0.45,506,-15.8,93,85,B+,D,B,89
LMND,Lemonade Inc,58,INSURANCE,Insurance-Prop/Cas/Titl,28.92,-8,-2.52,2250,1.2,2,4,B+,E,D-,10
MKL,Markel Corp,58,INSURANCE,Insurance-Prop/Cas/Titl,1260.18,-2.4,-31.2,66,41.9,17,80,B+,B,B-,68
SIGI,Selective Ins Group Inc,58,INSURANCE,Insurance-Prop/Cas/Titl,79.3,-0.4,-0.32,274,29.3,90,82,B+,B,D-,88
Y,Alleghany Corp,58,INSURANCE,Insurance-Prop/Cas/Titl,686.14,-0.1,-0.73,64,2.5,75,82,B+,C,B,90
SHI,Sinopec Shanghai Petrocm,59,CHEMICAL,Chemicals-Basic,22.3,-0.7,-0.16,21,17.8,36,64,B+,D,B,74
GPK,Graphic Packaging Hldg,60,MISC,Paper & Paper Products,18.67,-1,-0.18,1832,-20.4,79,64,B+,B,C-,75
IP,International Paper Co,60,MISC,Paper & Paper Products,47.56,-0.3,-0.15,2883,-24.6,70,46,B+,B,B-,74
NWS,News Corporation Cl B,62,MEDIA,Media-Newspapers,22.54,0.5,0.12,397,-39,82,64,B+,C,D+,76
EMR,Emerson Electric Co,63,MISC,Diversified Operations,96.59,-1,-0.97,3305,7,76,75,B+,B,C+,84
