"#","Symbol","Name","Sector","Ind Group Rank","Industry Name","Current Price","Price % Chg","Price $ Chg","Volume (1000s)","Vol % Chg vs 50-Day","EPS Rating","RS Rating","Ind Group RS","SMR Rating","A/D Rating","Comp Rating"
"151","XPER","Xperi Holding Corp","CHIPS","42","Elec-Semicondctor Fablss","16.33","-3.1","-0.53","347","-31.6","56","29","A-","A","C+","62"
"83","NIO","Nio Inc Cl A Ads","AUTO","41","Auto Manufacturers","23.13","-2.7","-0.63","54620","-2.4","46","11","A-","D","D","37"
"21","CCL","Carnival Corporation","LEISURE","39","Leisure-Services","20.34","-2.4","-0.51","27367","-39","28","35","A-","D","B","54"
"68","LYFT","Lyft Inc Cl A","LEISURE","39","Leisure-Services","36.36","-5.4","-2.08","4685","-25.9","61","21","A-","D","D","49"
"81","NCLH","Norwegian Cruise Lne Hld","LEISURE","39","Leisure-Services","20.49","-3.8","-0.82","14751","-38","35","26","A-","D","B-","47"
"103","PTON","Peloton Interactive Cl A","LEISURE","39","Leisure-Services","24.25","-9.2","-2.45","10342","-54.6","8","1","A-","C","C+","22"
"110","RCL","Royal Caribbean Group","LEISURE","39","Leisure-Services","79.36","-2.3","-1.88","4805","1.2","34","59","A-","E","B","69"
"121","SIX","Six Flags Entertainment","LEISURE","39","Leisure-Services","39.95","-1.7","-0.7","847","-43.8","69","48","A-","-","B","75"
"138","UBER","Uber Technologies Inc","LEISURE","39","Leisure-Services","34.54","-7.1","-2.63","29672","-0.3","23","21","A-","D","D-","36"
"12","AXTI","A X T Inc","CHIPS","37","Elec-Semiconductor Equip","7.1","-3.9","-0.29","224","4.2","69","21","A-","B","B","71"
"39","FCNCA","First Citizens Bancshs A","BANKS","36","Banks-Southeast","770.4","-1.8","-14.33","90","-42.3","74","55","A-","B","C","82"
"37","ESNT","Essent Group Ltd","FINANCE","35","Finance-Mrtg&Rel Svc","45.1","-1.1","-0.51","652","-12","94","55","A-","B","B+","94"
"64","LAWS","Lawson Products Inc","RETAIL","34","Retail/Whlsle-Bldg Prds","46.67","-0.9","-0.44","28","9.9","86","34","A-","B","C","76"
"76","MSM","M S C Industrial Drct","RETAIL","34","Retail/Whlsle-Bldg Prds","83.77","0","-0.04","524","27.2","71","55","A-","B","B-","79"
