Symbol,Name,Sector,Industry Name,Ind Group Rank,Exchange,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating,,,,,,,,,,,,,,,
HTGC,Hercules Capital Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,17.92,0,0,925,-9.6,51,77,B-,B,C,69,,,,,,,,,,,,,,,
HUSN,Hudson Capital Inc,FINANCE,Finance-Investment Mgmt,82,NASDAQ,2.2,0.5,0.01,5,-93.6,44,24,B-,E,C+,35,,,,,,,,,,,,,,,
HYW,Hywin Holdings Ltd Ads,FINANCE,Finance-Investment Mgmt,82,NASDAQ,5.64,1.1,0.06,43,0.7,99,28,B-,A,D-,72,,,,,,,,,,,,,,,
ICMB,Investcorp CreditMgt BDC,FINANCE,Finance-Investment Mgmt,82,NASDAQ,5.15,-0.2,-0.01,10,-66.6,30,42,B-,C,E,36,,,,,,,,,,,,,,,
IVZ,Invesco Ltd,FINANCE,Finance-Investment Mgmt,82,NYSE,22.2,-1,-0.22,4303,52.6,70,33,B-,B,D-,58,,,,,,,,,,,,,,,
JHG,Janus Henderson Group,FINANCE,Finance-Investment Mgmt,82,NYSE,38.09,0.8,0.32,842,53.3,89,44,B-,A,C+,80,,,,,,,,,,,,,,,
JP,Jupai Holdings Ltd Ads,FINANCE,Finance-Investment Mgmt,82,NYSE,0.84,10.8,0.08,389,425.3,61,9,B-,E,D,25,,,,,,,,,,,,,,,
KKR,K K R & Co Inc Cl A,FINANCE,Finance-Investment Mgmt,82,NYSE,72.89,0.6,0.43,1743,-12.9,46,92,B-,A,B,86,,,,,,,,,,,,,,,
LRFC,Logan Ridge Finance Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,25.33,1,0.24,8,-10.7,30,91,B-,E,D-,57,,,,,,,,,,,,,,,
MAIN,Main Street Capital Corp,FINANCE,Finance-Investment Mgmt,82,NYSE,44,-0.2,-0.07,250,-10.6,78,86,B-,A,D+,92,,,,,,,,,,,,,,,
MARA,Marathon Digital Hldgs,FINANCE,Finance-Investment Mgmt,82,NASDAQ,22.82,-8.8,-2.21,10191,-8.9,1,18,B-,C,B-,25,,,,,,,,,,,,,,,
MN,Manning & Napier Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,8.24,1.6,0.13,18,-58.2,74,69,B-,B,D-,78,,,,,,,,,,,,,,,
MRCC,Monroe Capital Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,10.9,-0.3,-0.03,65,-8.4,44,85,B-,C,B-,73,,,,,,,,,,,,,,,
NEWT,Newtek Business Services,FINANCE,Finance-Investment Mgmt,82,NASDAQ,26.93,0.3,0.08,55,-66.8,10,65,B-,B,E,42,,,,,,,,,,,,,,,
NMFC,New Mountain Finance,FINANCE,Finance-Investment Mgmt,82,NASDAQ,13.46,0.4,0.06,180,-14.3,55,72,B-,C,E,61,,,,,,,,,,,,,,,
NOAH,Noah Holdings Ltd Ads,FINANCE,Finance-Investment Mgmt,82,NYSE,30.09,-3.3,-1.03,53,-50.8,62,18,B-,A,D,51,,,,,,,,,,,,,,,
OCCI,Ofs Credit Company Inc,FINANCE,Finance-Investment Mgmt,82,NASDAQ,12.71,-0.2,-0.02,64,8.5,0,55,B-,-,E,0,,,,,,,,,,,,,,,
OCSL,Oaktree Specialty Lend,FINANCE,Finance-Investment Mgmt,82,NASDAQ,7.59,0.1,0.01,775,-10.8,59,88,B-,A,B,88,,,,,,,,,,,,,,,
OFS,O F S Capital Corp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,9.67,-2,-0.2,104,175.2,62,79,B-,C,E,59,,,,,,,,,,,,,,,
ORCC,Owl Rock Capital Corp,FINANCE,Finance-Investment Mgmt,82,NYSE,14.77,0.1,0.02,1277,-4.7,72,77,B-,A,B-,91,,,,,,,,,,,,,,,
OWL,Blue Owl Capital Inc,FINANCE,Finance-Investment Mgmt,82,NYSE,12.87,-1.2,-0.16,1380,-48.4,69,65,B-,C,C-,72,,,,,,,,,,,,,,,
OXSQ,Oxford Square Capital,FINANCE,Finance-Investment Mgmt,82,NASDAQ,4.24,0,0,92,-51.6,30,55,B-,C,D-,50,,,,,,,,,,,,,,,
PAX,Patria Investments Cl A,FINANCE,Finance-Investment Mgmt,82,NASDAQ,17.24,1.4,0.24,142,-17.7,94,65,B-,A,B-,92,,,,,,,,,,,,,,,
PFLT,Pennantpark Flting Rt Cp,FINANCE,Finance-Investment Mgmt,82,NASDAQ,13.2,1.4,0.19,217,10.6,47,72,B-,C,D-,60,,,,,,,,,,,,,,,
