Ind Group Rank,Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
48,MFC,Manulife Financial Corp,48,INSURANCE,Insurance-Diversified,20.81,-1,-0.2,3133,12.4,67,79,A-,B,C-,82
49,NSC,Norfolk Southern Corp,49,TRANSPRT,Transportation-Rail,276.68,-1.2,-3.41,728,-11.4,86,74,B+,A,D-,85
51,BKNG,Booking Holdings Inc,51,LEISURE,Leisure-Travel Booking,2446.59,0,5.61,306,13.7,61,84,B+,C,B-,90
51,EXPE,Expedia Group Inc,51,LEISURE,Leisure-Travel Booking,184.3,-0.6,-1.03,1158,-35,58,92,B+,D,B,86
53,GL,Globe Life Inc,53,INSURANCE,Insurance-Life,102.72,-1.3,-1.29,469,55.4,71,86,B+,B,B,86
53,MET,Metlife Inc,53,INSURANCE,Insurance-Life,67.98,-0.8,-0.55,3304,11.9,95,90,B+,C,C,92
53,VOYA,Voya Financial Inc,53,INSURANCE,Insurance-Life,69.32,-1.4,-0.97,781,-39.6,99,82,B+,C,B-,93
54,CHT,Chunghwa Telecom Co Ads,54,TELECOM,Telecom Svcs- Foreign,43.11,-0.5,-0.26,67,-7.7,59,84,B+,B,B,80
54,TIMB,T I M S A Ads,54,TELECOM,Telecom Svcs- Foreign,12.65,1.5,0.21,434,2.3,95,85,B+,C,B-,87
54,VIV,Telefonica Brasil S.A.,54,TELECOM,Telecom Svcs- Foreign,9.47,0.3,0.03,380,-52.5,56,87,B+,D,B,78
54,VOD,Vodafone Group Plc Adr,54,TELECOM,Telecom Svcs- Foreign,18.21,1.8,0.33,7357,27.9,70,82,B+,C,A,88
55,MKC,Mccormick & Co,55,FOOD/BEV,Food-Misc Preparation,102.95,1.3,1.29,952,-8,69,93,B+,B,B,90
57,APLE,Apple Hospitality Reit,57,REAL EST,Finance-Property REIT,16.02,-0.9,-0.14,742,-44.9,69,82,B+,D,A-,93
57,CLDT,Chatham Lodging Trust,57,REAL EST,Finance-Property REIT,13.57,0.5,0.08,442,109.7,49,85,B+,D,B,79
57,HST,Host Hotels & Resorts,57,REAL EST,Finance-Property REIT,17.1,-0.5,-0.08,5440,4.7,48,79,B+,D,C,75
57,LTC,L T C Properties Inc,57,REAL EST,Finance-Property REIT,34.47,-2.7,-0.97,336,52.3,61,60,B+,B,B+,72
57,MPW,Medical Properties Trust,57,REAL EST,Finance-Property REIT,22.27,-2.4,-0.54,3935,45,45,84,B+,B,C-,78
57,PCH,Potlatchdeltic Corp,57,REAL EST,Finance-Property REIT,52.99,-0.8,-0.43,219,-17.9,45,79,B+,B,C+,74
57,SLG,S L Green Realty Corp,57,REAL EST,Finance-Property REIT,72.68,-1.5,-1.12,425,-35.8,74,86,B+,D,B-,80
57,WY,Weyerhaeuser Co,57,REAL EST,Finance-Property REIT,41.39,-0.3,-0.09,2371,2.9,67,90,B+,A,B+,93
58,AXS,Axis Capital Hldings Ltd,58,INSURANCE,Insurance-Prop/Cas/Titl,56.68,-0.6,-0.32,334,27.4,69,86,B+,C,C-,82
58,CNA,C N A Financial Corp,58,INSURANCE,Insurance-Prop/Cas/Titl,46.62,-0.1,-0.06,45,-29.1,76,79,B+,C,B+,87
58,ESGR,Enstar Group Ltd,58,INSURANCE,Insurance-Prop/Cas/Titl,264.61,-1.2,-3.14,30,2.8,31,88,B+,B,C,79
58,PGR,Progressive Corp Ohio,58,INSURANCE,Insurance-Prop/Cas/Titl,109.87,0.4,0.39,1386,-31.5,57,90,B+,B,B+,86
58,RNR,Renaissancere Holdings,58,INSURANCE,Insurance-Prop/Cas/Titl,155.65,-1.3,-2.01,673,140.4,31,69,B+,D,B-,70
58,SAFT,Safety Insurance Group,58,INSURANCE,Insurance-Prop/Cas/Titl,85.84,1.4,1.16,76,91.8,61,82,B+,B,B,82
58,THG,Hanover Insurance Group,58,INSURANCE,Insurance-Prop/Cas/Titl,141.39,4.9,6.8,230,203.3,72,77,B+,C,C+,77
59,DD,DuPont de Nemours Inc,59,CHEMICAL,Chemicals-Basic,77.98,-1.5,-1.17,1437,-20.2,70,72,B+,C,D-,79
59,WLK,Westlake Chemical Corp,59,CHEMICAL,Chemicals-Basic,101.68,0.2,0.18,236,-35.5,76,86,B+,B,D,90
59,WLKP,Westlake Chemical Prtnrs,59,CHEMICAL,Chemicals-Basic,26.18,-0.9,-0.23,25,-49.2,65,72,B+,B,B+,86
60,RFP,Resolute Forest Products,60,MISC,Paper & Paper Products,11.36,-20.3,-2.86,2373,509.7,59,95,B+,B,B-,91
60,SUZ,Suzano S A Adr,60,MISC,Paper & Paper Products,11.2,-0.9,-0.11,452,-31.6,50,85,B+,D,B+,79
61,BTI,British Amer Tobacco Adr,61,ALCOHL/TOB,Tobacco,43.81,0.8,0.34,3608,-28.4,69,93,B+,B,A+,93
61,MO,Altria Group Inc,61,ALCOHL/TOB,Tobacco,50.49,0,-0.02,4253,-31.7,69,87,B+,B,C+,83
61,UVV,Universal Corp Va,61,ALCOHL/TOB,Tobacco,51.63,-5.6,-3.04,156,112.7,70,85,B+,C,B,87
64,AVA,Avista Corp,64,UTILITY,Utility-Diversified,44.2,0.3,0.13,194,7.8,61,82,B+,C,C+,74
64,BKH,Black Hills Corp,64,UTILITY,Utility-Diversified,66.47,-0.4,-0.26,216,34.4,76,69,B+,B,D,77
64,CMS,C M S Energy Corp,64,UTILITY,Utility-Diversified,64.89,1.4,0.92,2153,144.4,65,79,B+,B,B-,83
64,D,Dominion Energy,64,UTILITY,Utility-Diversified,80.9,-0.5,-0.42,1469,-32.3,53,84,B+,C,B,76
64,DTE,D T E Energy Co,64,UTILITY,Utility-Diversified,120.28,0,0.05,533,-11.3,59,65,B+,B,B+,78
64,NI,Nisource Inc,64,UTILITY,Utility-Diversified,29.71,0.3,0.11,7056,142,67,93,B+,C,B+,85
64,SJI,South Jersey Industries,64,UTILITY,Utility-Diversified,25.16,-0.4,-0.07,389,-24.6,40,81,B+,C,C+,73
64,SRE,Sempra Energy,64,UTILITY,Utility-Diversified,137.23,-0.8,-0.97,734,-30.1,55,82,B+,C,C,80
64,WEC,W E C Energy Group Inc,64,UTILITY,Utility-Diversified,95.95,-0.2,-0.18,1145,40.1,73,79,B+,B,B-,82
64,XEL,Xcel Energy Inc,64,UTILITY,Utility-Diversified,69.53,-0.1,-0.07,1420,-32.6,62,81,B+,B,B-,82
68,BCSF,Bain Cap Specialty Fin,68,FINANCE,Financial Svcs-Specialty,15.82,-0.4,-0.08,70,-55.3,78,81,B,C,B-,81
68,VIRT,Virtu Financial Inc Cl A,68,FINANCE,Financial Svcs-Specialty,31.09,0.1,0.04,1509,132.7,63,89,B,B,A-,85
69,PPL,P P L Corporation,69,UTILITY,Utility-Electric Power,29.7,-0.1,-0.02,1934,-36,48,74,B,C,D+,66
70,MGRC,Mcgrath Rentcorp,70,FINANCE,Comml Svcs-Leasing,74.97,-0.4,-0.32,42,-19,67,60,B,B,C,73
71,CALM,Cal-Maine Foods Inc,71,FOOD/BEV,Food-Meat Products,39.95,0.8,0.32,159,-28.1,15,84,B,D,B,71
71,HRL,Hormel Foods Co,71,FOOD/BEV,Food-Meat Products,47.96,0.8,0.38,957,-34.6,65,79,B,B,C-,82
72,BGS,B & G Foods Inc,72,FOOD/BEV,Food-Packaged,31.44,0.9,0.27,362,-32.9,36,65,B,B,B-,60
72,CAG,Conagra Brands Inc,72,FOOD/BEV,Food-Packaged,35.34,0.3,0.1,2524,-15.5,51,77,B,C,B-,68
72,CPB,Campbell Soup Co,72,FOOD/BEV,Food-Packaged,44.72,0.4,0.18,1172,-39.1,42,69,B,C,D-,58
72,K,Kellogg Company,72,FOOD/BEV,Food-Packaged,63.55,0.3,0.16,1247,-13.9,61,72,B,B,D-,70
