Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
WMB,Williams Companies,6,ENERGY,Oil&Gas-Integrated,30.31,-1.2,-0.38,7637,8.7,87,93,A+,B,B-,97
XOM,Exxon Mobil Corp,6,ENERGY,Oil&Gas-Integrated,79.72,-1.1,-0.91,24386,15,69,97,A+,A,A,99
VALU,Value Line Inc,7,MEDIA,Media-Periodicals,60.55,1.6,0.96,10,-50.9,90,99,A+,B,A,96
VAL,Valaris Limited,8,ENERGY,Oil&Gas-Drilling,41.65,-1.2,-0.61,415,10,50,98,A+,E,B,87
GRIN,Grindrod Shipping Hldgs,9,TRANSPRT,Transportation-Ship,16,-5,-0.84,234,-22.7,69,99,A+,C,C-,91
GSL,Global Ship Lease Inc,9,TRANSPRT,Transportation-Ship,26.01,-3.7,-0.99,877,42.3,72,98,A+,A,A-,99
MATX,Matson Inc,9,TRANSPRT,Transportation-Ship,94.61,-4.2,-4.12,396,42.1,99,97,A+,A,B,99
ZIM,ZIM Integ Shipping Svcs,9,TRANSPRT,Transportation-Ship,68.64,0.7,0.46,2874,-23.7,84,99,A+,A,B-,99
CAPL,CrossAmerica Partners LP,10,ENERGY,Oil&Gas-Refining/Mktg,20.59,-2.4,-0.52,55,10.2,62,84,A+,B,C,91
GEL,Genesis Energy Lp,10,ENERGY,Oil&Gas-Refining/Mktg,11.8,-1.1,-0.13,307,-40.4,40,97,A+,E,B-,82
MPC,Marathon Petroleum,10,ENERGY,Oil&Gas-Refining/Mktg,77.05,-1.9,-1.46,6335,11.4,69,97,A+,C,B,95
SUN,Sunoco Lp,10,ENERGY,Oil&Gas-Refining/Mktg,46.1,-1.2,-0.55,439,66.3,36,94,A+,A,B+,98
TRGP,Targa Resources Corp,10,ENERGY,Oil&Gas-Refining/Mktg,60.39,-1.4,-0.88,1480,32.6,44,98,A+,D,A-,93
HAL,Halliburton Co,11,ENERGY,Oil&Gas-Field Services,31.26,-0.5,-0.15,15543,72.7,72,98,A+,B,B+,99
CQP,Cheniere Energy Partners,14,ENERGY,Oil&Gas-Transprt/Pipelne,50.98,-1.2,-0.62,205,49.7,83,95,A+,A,A,98
DTM,D T Midstream Inc,14,ENERGY,Oil&Gas-Transprt/Pipelne,51.91,0.8,0.41,579,49.9,80,91,A+,B,B-,93
ENLC,Enlink Midstream LLC,14,ENERGY,Oil&Gas-Transprt/Pipelne,8.11,-1.8,-0.15,1452,-21.5,10,98,A+,D,B-,79
